game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,98528,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
2,99525,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,100522,vp-side-hybrid,B,2,1000,resigned,B,162,0,1,0
4,101519,vp-side-hybrid,B,2,1000,resigned,B,112,0,1,0
5,102516,vp-side-hybrid,B,2,1000,resigned,W,463,0,0,1
6,103513,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,104510,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
8,105507,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
9,106504,vp-side-hybrid,B,2,1000,resigned,B,126,0,1,0
10,107501,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
11,108498,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
12,109495,vp-side-hybrid,B,2,1000,draw,-,601,0,0,0
13,110492,vp-side-hybrid,B,2,1000,resigned,W,75,0,0,1
14,111489,vp-side-hybrid,B,2,1000,resigned,B,76,0,1,0
15,112486,vp-side-hybrid,B,2,1000,resigned,W,49,0,0,1
16,113483,vp-side-hybrid,B,2,1000,resigned,B,142,0,1,0
17,114480,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
18,115477,vp-side-hybrid,B,2,1000,resigned,W,201,0,0,1
19,116474,vp-side-hybrid,B,2,1000,resigned,W,67,0,0,1
20,117471,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
21,118468,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
22,119465,vp-side-hybrid,B,2,1000,resigned,B,84,0,1,0
23,120462,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
24,121459,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
25,122456,vp-side-hybrid,B,2,1000,draw,-,225,0,0,0
26,123453,vp-side-hybrid,B,2,1000,resigned,B,498,0,1,0
27,124450,vp-side-hybrid,B,2,1000,draw,-,249,0,0,0
28,125447,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
29,126444,vp-side-hybrid,B,2,1000,resigned,W,53,0,0,1
30,127441,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
31,128438,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
32,129435,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
33,130432,vp-side-hybrid,B,2,1000,resigned,W,179,0,0,1
34,131429,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
35,132426,vp-side-hybrid,B,2,1000,resigned,B,62,0,1,0
36,133423,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
37,134420,vp-side-hybrid,B,2,1000,resigned,W,237,0,0,1
38,135417,vp-side-hybrid,B,2,1000,resigned,B,358,0,1,0
39,136414,vp-side-hybrid,B,2,1000,resigned,B,984,0,1,0
40,137411,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
41,138408,vp-side-hybrid,B,2,1000,resigned,B,262,0,1,0
42,139405,vp-side-hybrid,B,2,1000,draw,-,221,0,0,0
43,140402,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
44,141399,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
45,142396,vp-side-hybrid,B,2,1000,resigned,W,209,0,0,1
46,143393,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
47,144390,vp-side-hybrid,B,2,1000,resigned,B,100,0,1,0
48,145387,vp-side-hybrid,B,2,1000,resigned,B,396,0,1,0
49,146384,vp-side-hybrid,B,2,1000,resigned,W,179,0,0,1
50,147381,vp-side-hybrid,B,2,1000,resigned,B,542,0,1,0
51,148378,vp-side-hybrid,W,2,1000,resigned,B,130,0,0,1
52,149375,vp-side-hybrid,W,2,1000,resigned,W,63,0,1,0
53,150372,vp-side-hybrid,W,2,1000,resigned,B,118,0,0,1
54,151369,vp-side-hybrid,W,2,1000,resigned,W,383,0,1,0
55,152366,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
56,153363,vp-side-hybrid,W,2,1000,resigned,B,644,0,0,1
57,154360,vp-side-hybrid,W,2,1000,draw,-,224,0,0,0
58,155357,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
59,156354,vp-side-hybrid,W,2,1000,resigned,W,337,0,1,0
60,157351,vp-side-hybrid,W,2,1000,resigned,W,113,0,1,0
61,158348,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
62,159345,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
63,160342,vp-side-hybrid,W,2,1000,draw,-,716,0,0,0
64,161339,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
65,162336,vp-side-hybrid,W,2,1000,resigned,W,373,0,1,0
66,163333,vp-side-hybrid,W,2,1000,resigned,W,81,0,1,0
67,164330,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
68,165327,vp-side-hybrid,W,2,1000,resigned,B,120,0,0,1
69,166324,vp-side-hybrid,W,2,1000,resigned,W,79,0,1,0
70,167321,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
71,168318,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
72,169315,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
73,170312,vp-side-hybrid,W,2,1000,draw,-,554,0,0,0
74,171309,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
75,172306,vp-side-hybrid,W,2,1000,draw,-,466,0,0,0
76,173303,vp-side-hybrid,W,2,1000,resigned,W,683,0,1,0
77,174300,vp-side-hybrid,W,2,1000,resigned,W,279,0,1,0
78,175297,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
79,176294,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
80,177291,vp-side-hybrid,W,2,1000,resigned,W,465,0,1,0
81,178288,vp-side-hybrid,W,2,1000,resigned,W,81,0,1,0
82,179285,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
83,180282,vp-side-hybrid,W,2,1000,resigned,W,189,0,1,0
84,181279,vp-side-hybrid,W,2,1000,draw,-,206,0,0,0
85,182276,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
86,183273,vp-side-hybrid,W,2,1000,draw,-,298,0,0,0
87,184270,vp-side-hybrid,W,2,1000,resigned,B,158,0,0,1
88,185267,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
89,186264,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
90,187261,vp-side-hybrid,W,2,1000,resigned,W,117,0,1,0
91,188258,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
92,189255,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
93,190252,vp-side-hybrid,W,2,1000,resigned,B,96,0,0,1
94,191249,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
95,192246,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
96,193243,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
97,194240,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
98,195237,vp-side-hybrid,W,2,1000,draw,-,172,0,0,0
99,196234,vp-side-hybrid,W,2,1000,resigned,W,129,0,1,0
100,197231,vp-side-hybrid,W,2,1000,resigned,W,99,0,1,0
