episode,ply,player,kind,intent,from_x,from_y,to_x,to_y,drop_type,capture_value,gives_check,status,winner,timed_out,reward,target,value_before,value_after
1,19,B,0,1,3,5,2,6,0,0,1,ongoing,-,0,0.263880,0.231651,0.039829,0.033926
1,20,W,1,0,-1,-1,3,7,7,0,0,ongoing,-,0,0.305498,0.263203,0.038720,0.044521
1,21,B,0,2,2,6,3,7,0,100,1,ongoing,-,0,0.276367,0.234484,0.049728,0.044087
1,22,W,0,2,2,6,3,7,0,350,0,ongoing,-,0,0.393485,0.341708,0.048351,0.054502
1,23,B,0,1,4,1,4,2,0,0,0,ongoing,-,0,0.014853,-0.044832,0.061246,0.062826
1,24,W,0,0,3,6,3,5,0,0,0,ongoing,-,0,0.001847,-0.055964,0.059497,0.060854
1,25,B,0,2,4,2,4,7,0,100,1,ongoing,-,0,0.349340,0.300756,0.057097,0.051142
1,26,W,0,2,3,7,4,7,0,900,0,ongoing,-,0,0.519333,0.457742,0.057116,0.064833
1,27,B,1,0,-1,-1,4,3,10,0,0,ongoing,-,0,0.001827,-0.070413,0.074702,0.076042
1,28,W,0,0,3,5,3,4,0,0,0,ongoing,-,0,0.001820,-0.065620,0.071066,0.070990
1,29,B,0,2,4,3,3,4,0,500,0,ongoing,-,0,0.059313,0.000461,0.066243,0.061950
1,30,W,1,0,-1,-1,3,6,8,0,0,ongoing,-,0,0.006807,-0.048292,0.059847,0.057998
1,31,B,1,0,-1,-1,3,4,13,0,0,ongoing,-,0,0.014800,-0.040484,0.054829,0.058194
1,32,W,0,1,5,8,4,7,0,0,0,ongoing,-,0,-0.023207,-0.073059,0.055433,0.052476
1,33,B,0,2,3,4,3,6,0,400,0,ongoing,-,0,0.059787,0.012677,0.048759,0.049589
1,34,W,0,2,4,7,3,6,0,350,0,ongoing,-,0,0.071530,0.026025,0.048588,0.047900
1,35,B,0,0,3,4,4,5,0,0,0,ongoing,-,0,0.009773,-0.037782,0.047264,0.050058
1,36,W,0,2,5,6,4,5,0,500,0,ongoing,-,0,0.062267,0.017906,0.047530,0.046695
1,37,B,1,0,-1,-1,4,3,8,0,0,ongoing,-,0,0.001760,-0.041626,0.045778,0.045670
1,38,W,0,0,3,6,0,3,0,0,0,ongoing,-,0,0.014753,-0.027799,0.042864,0.044792
1,39,B,0,2,0,2,0,3,0,600,0,ongoing,-,0,0.089747,0.051101,0.042522,0.040679
1,40,W,0,0,4,5,3,4,0,0,0,ongoing,-,0,0.006740,-0.033886,0.040951,0.042765
1,41,B,0,2,4,3,3,4,0,350,0,ongoing,-,0,0.040483,0.004212,0.040378,0.038180
1,42,W,0,0,1,7,3,5,0,0,0,ongoing,-,0,0.011727,-0.023596,0.037104,0.037182
1,43,B,0,0,3,4,4,5,0,0,0,ongoing,-,0,0.009720,-0.026004,0.035427,0.037605
1,44,W,0,0,3,5,1,3,0,0,0,ongoing,-,0,0.014713,-0.020279,0.035641,0.036834
1,45,B,0,2,1,1,1,3,0,300,0,ongoing,-,0,0.052207,0.021726,0.034932,0.032084
1,46,W,1,0,-1,-1,3,6,13,0,0,ongoing,-,0,0.006700,-0.019975,0.031682,0.028079
1,47,B,0,2,4,5,3,6,0,350,0,ongoing,-,0,0.058443,0.029254,0.026744,0.030726
1,48,W,1,0,-1,-1,8,6,5,0,0,ongoing,-,0,-0.023313,-0.047521,0.030787,0.025482
1,49,B,1,0,-1,-1,2,6,5,0,1,ongoing,-,0,0.267680,0.238811,0.023696,0.030389
1,50,W,1,0,-1,-1,3,7,3,0,0,ongoing,-,0,0.330798,0.301698,0.034263,0.030632
1,51,B,0,2,2,6,3,7,0,250,1,ongoing,-,0,0.272917,0.234507,0.035449,0.040431
1,52,W,0,2,4,7,3,7,0,300,0,ongoing,-,0,0.374035,0.335548,0.044015,0.040512
1,53,B,1,0,-1,-1,4,6,3,0,1,ongoing,-,0,0.296653,0.247410,0.045752,0.051835
1,54,W,0,0,4,8,5,8,0,0,0,ongoing,-,0,0.311397,0.261079,0.055556,0.052966
1,55,B,1,0,-1,-1,5,6,3,0,1,ongoing,-,0,0.274640,0.219599,0.056729,0.057938
1,56,W,0,0,5,8,6,8,0,0,0,ongoing,-,0,0.329133,0.271070,0.060862,0.061120
1,57,B,0,2,5,6,6,7,0,350,1,ongoing,-,0,0.306377,0.242698,0.064877,0.067030
1,58,W,0,2,7,7,6,7,0,250,0,ongoing,-,0,0.401245,0.338975,0.070223,0.065547
1,59,B,0,0,4,6,5,7,0,0,1,ongoing,-,0,0.255613,0.183882,0.070233,0.075507
1,60,W,0,2,6,7,5,7,0,250,0,ongoing,-,0,0.380357,0.313054,0.077500,0.070845
1,61,B,1,0,-1,-1,7,6,10,0,0,ongoing,-,0,0.048600,-0.021808,0.074958,0.074114
1,62,W,0,2,6,6,7,6,0,500,0,ongoing,-,0,0.098343,0.031238,0.072289,0.070637
1,63,B,1,0,-1,-1,6,6,4,0,1,ongoing,-,0,0.278462,0.220944,0.069904,0.060545
1,64,W,0,2,7,6,6,6,0,300,0,ongoing,-,0,0.393455,0.326142,0.062827,0.070856
1,65,B,0,0,3,6,4,7,0,0,0,ongoing,-,0,0.027573,-0.036963,0.074810,0.067933
1,66,W,0,2,5,7,4,7,0,400,0,ongoing,-,0,0.070692,0.003020,0.066176,0.071234
1,67,B,0,0,6,1,6,3,0,0,0,ongoing,-,0,0.001560,-0.059914,0.070263,0.064709
1,68,W,1,0,-1,-1,3,6,4,0,0,ongoing,-,0,-0.001072,-0.064413,0.062711,0.066676
1,69,B,0,1,7,1,6,2,0,0,0,ongoing,-,0,-0.023578,-0.082145,0.064709,0.061649
1,70,W,0,0,3,6,3,4,0,0,0,ongoing,-,0,0.008915,-0.052977,0.059351,0.065150
1,71,B,0,0,6,3,6,5,0,0,0,ongoing,-,0,0.066658,0.008358,0.063369,0.061368
1,72,W,0,2,6,6,6,5,0,350,0,ongoing,-,0,0.301652,0.243820,0.060438,0.060876
1,73,B,0,0,6,2,3,5,0,0,0,ongoing,-,0,0.017020,-0.043445,0.063885,0.063647
1,74,W,0,2,3,4,3,5,0,300,0,ongoing,-,0,0.054138,-0.003614,0.061883,0.060792
1,75,B,0,0,5,2,6,3,0,0,0,ongoing,-,0,0.001507,-0.053348,0.059726,0.057741
1,76,W,0,0,3,5,3,3,0,0,0,ongoing,-,0,0.028125,-0.030486,0.055967,0.061695
1,77,B,0,2,2,1,3,3,0,300,0,ongoing,-,0,0.073868,0.024949,0.060288,0.051494
1,78,W,0,0,8,6,5,3,0,0,0,ongoing,-,0,0.008862,-0.047499,0.050951,0.059327
1,79,B,0,0,3,3,4,5,0,0,0,ongoing,-,0,0.014730,-0.035733,0.057818,0.053119
1,80,W,0,2,4,7,4,5,0,350,0,ongoing,-,0,0.064223,0.010550,0.051584,0.056498
1,81,B,0,0,6,3,6,4,0,0,0,ongoing,-,0,0.001592,-0.046094,0.055827,0.050195
1,82,W,0,2,6,5,6,4,0,350,0,ongoing,-,0,0.045210,-0.004911,0.048535,0.052759
1,83,B,0,0,6,2,6,3,0,0,0,ongoing,-,0,0.001703,-0.043076,0.051915,0.047136
1,84,W,0,2,5,3,4,2,0,100,0,ongoing,-,0,0.042947,-0.007297,0.045645,0.052888
1,85,B,0,2,6,3,6,4,0,200,0,ongoing,-,0,0.026315,-0.019372,0.052032,0.048091
1,86,W,0,2,4,2,3,1,0,200,0,ongoing,-,0,0.061433,0.011878,0.046878,0.052164
1,87,B,0,2,3,0,3,1,0,300,0,ongoing,-,0,0.304427,0.264764,0.051556,0.041750
1,88,W,0,0,4,5,4,3,0,0,0,ongoing,-,0,0.049170,-0.000307,0.045209,0.052082
1,89,B,0,0,3,1,2,0,0,0,0,ongoing,-,0,0.015288,-0.026818,0.051348,0.044322
1,90,W,0,0,4,3,4,1,0,0,0,ongoing,-,0,0.029782,-0.019772,0.043060,0.052162
1,91,B,0,0,6,4,6,5,0,0,0,ongoing,-,0,0.004400,-0.039180,0.051143,0.045873
1,92,W,1,0,-1,-1,2,1,3,0,1,ongoing,-,0,0.242268,0.202110,0.044319,0.042272
1,93,B,0,2,2,0,2,1,0,250,0,ongoing,-,0,0.396262,0.350684,0.044964,0.047976
1,94,W,0,0,4,1,3,1,0,0,1,ongoing,-,0,0.219380,0.172223,0.053342,0.049639
1,95,B,0,2,2,1,3,1,0,300,0,ongoing,-,0,0.406123,0.360366,0.051725,0.048166
1,96,W,0,0,3,7,3,6,0,0,0,ongoing,-,0,0.001367,-0.052382,0.052939,0.056577
1,97,B,0,0,6,5,6,6,0,0,0,ongoing,-,0,0.023360,-0.026990,0.054946,0.053000
1,98,W,0,0,3,6,3,5,0,0,0,ongoing,-,0,0.001353,-0.052182,0.051689,0.056353
1,99,B,0,0,6,6,6,7,0,0,1,ongoing,-,0,0.211347,0.162473,0.054647,0.051446
1,100,W,0,2,6,8,6,7,0,200,0,ongoing,-,0,0.392965,0.346175,0.053271,0.049252
1,101,B,0,0,8,3,8,4,0,0,0,ongoing,-,0,0.001333,-0.053300,0.053670,0.057508
1,102,W,0,0,3,5,3,4,0,0,0,ongoing,-,0,0.004327,-0.046781,0.055890,0.053797
1,103,B,0,0,8,4,8,5,0,0,0,ongoing,-,0,0.000445,-0.052960,0.052195,0.056216
1,104,W,0,0,3,4,3,3,0,0,0,ongoing,-,0,0.023313,-0.026377,0.054528,0.052305
1,105,B,0,2,8,5,8,6,0,100,0,ongoing,-,0,0.019682,-0.033316,0.050965,0.055787
1,106,W,0,0,3,3,3,2,0,0,1,ongoing,-,0,0.214300,0.166196,0.054353,0.050636
1,107,B,0,2,3,1,3,2,0,200,0,ongoing,-,0,0.392918,0.348164,0.052599,0.047110
1,108,W,0,0,0,6,0,5,0,0,0,ongoing,-,0,0.001287,-0.052995,0.051532,0.057138
1,109,B,0,0,8,6,8,7,0,0,0,ongoing,-,0,0.004280,-0.044903,0.055574,0.051772
1,110,W,0,0,0,5,0,4,0,0,0,ongoing,-,0,0.000398,-0.052647,0.050216,0.055837
1,111,B,0,2,0,3,0,4,0,100,0,ongoing,-,0,0.011642,-0.031666,0.054203,0.045587
1,112,W,0,0,6,7,5,6,0,0,0,ongoing,-,0,0.012260,-0.034039,0.044318,0.048735
1,113,B,0,0,8,7,8,6,0,0,0,ongoing,-,0,0.004253,-0.039727,0.047627,0.046296
1,114,W,0,0,5,6,4,5,0,0,0,ongoing,-,0,0.009247,-0.034663,0.044978,0.046221
1,115,B,0,0,1,3,1,5,0,0,0,ongoing,-,0,0.004240,-0.040107,0.045019,0.046681
1,116,W,0,0,4,5,5,4,0,0,0,ongoing,-,0,-0.007392,-0.049906,0.045316,0.044751
1,117,B,0,0,3,2,4,2,0,0,0,ongoing,-,0,-0.008398,-0.053561,0.043225,0.047539
1,118,W,0,0,5,4,6,3,0,0,0,ongoing,-,0,-0.028280,-0.070490,0.045896,0.044432
1,119,B,0,0,8,2,8,3,0,0,0,ongoing,-,0,0.004213,-0.037379,0.042320,0.043781
1,120,W,0,0,6,3,6,4,0,0,0,ongoing,-,0,0.173332,0.135634,0.042335,0.039681
1,121,B,0,0,8,3,8,4,0,0,0,ongoing,-,0,0.004200,-0.035281,0.041323,0.041559
1,122,W,0,0,6,4,6,3,0,0,0,ongoing,-,0,-0.003932,-0.043063,0.040273,0.041191
1,123,B,0,0,4,2,4,3,0,0,0,ongoing,-,0,-0.008438,-0.049861,0.039770,0.043602
1,124,W,0,0,6,3,6,2,0,0,0,ongoing,-,0,0.173305,0.137263,0.041874,0.037938
1,125,B,0,0,8,4,8,3,0,0,0,ongoing,-,0,-0.000827,-0.040215,0.039767,0.041462
1,126,W,0,0,6,2,6,1,0,0,0,ongoing,-,0,0.173292,0.139082,0.040013,0.036010
1,127,B,0,0,8,3,8,2,0,0,0,ongoing,-,0,0.004160,-0.033282,0.037698,0.039412
1,128,W,0,0,6,1,5,1,0,0,0,ongoing,-,0,-0.003972,-0.040911,0.038253,0.038883
1,129,B,0,0,8,2,8,1,0,0,0,ongoing,-,0,-0.000853,-0.038136,0.037533,0.039245
1,130,W,0,0,5,1,4,0,0,0,0,ongoing,-,0,0.177015,0.144879,0.037873,0.033827
1,131,B,0,0,4,3,3,2,0,0,0,ongoing,-,0,-0.020117,-0.057911,0.035664,0.039783
1,132,W,0,0,4,0,3,0,0,0,0,ongoing,-,0,-0.008498,-0.044923,0.038178,0.038342
1,133,B,0,0,3,2,3,3,0,0,0,ongoing,-,0,0.168495,0.135508,0.036746,0.034723
1,134,W,0,0,3,0,2,1,0,0,0,ongoing,-,0,-0.019762,-0.054787,0.036473,0.036869
1,135,B,0,0,1,5,1,3,0,0,0,ongoing,-,0,0.037107,0.001971,0.035300,0.036985
1,136,W,0,0,2,1,3,1,0,0,0,ongoing,-,0,0.241225,0.206141,0.036379,0.036931
1,137,B,0,0,3,3,3,4,0,0,0,ongoing,-,0,0.168468,0.133033,0.040198,0.037300
1,138,W,0,0,3,1,4,2,0,0,0,ongoing,-,0,-0.020163,-0.057754,0.038950,0.039569
1,139,B,0,0,1,3,1,2,0,0,0,ongoing,-,0,-0.000920,-0.038555,0.037902,0.039616
1,140,W,0,0,4,2,4,1,0,0,0,ongoing,-,0,0.172323,0.141027,0.038223,0.032943
1,141,B,0,0,1,2,2,2,0,0,0,ongoing,-,0,0.023067,-0.011491,0.034656,0.036376
1,142,W,0,0,4,1,5,2,0,0,0,ongoing,-,0,0.015060,-0.019531,0.035628,0.036412
1,143,B,0,0,2,2,3,2,0,0,0,ongoing,-,0,0.022928,-0.011055,0.035492,0.035772
1,144,W,0,0,5,2,6,3,0,0,0,ongoing,-,0,0.199297,0.168699,0.034984,0.032208
1,145,B,0,0,3,2,4,2,0,0,0,ongoing,-,0,0.023165,-0.011157,0.034377,0.036129
1,146,W,0,0,6,3,6,4,0,0,0,ongoing,-,0,0.022158,-0.011060,0.035389,0.034966
1,147,B,0,0,4,2,5,2,0,0,0,ongoing,-,0,0.037027,0.002907,0.034190,0.035915
1,148,W,0,0,6,4,7,4,0,0,0,ongoing,-,0,0.189145,0.156032,0.035376,0.034856
1,149,B,0,0,5,2,6,2,0,0,0,ongoing,-,0,0.037013,0.002711,0.036941,0.036107
1,150,W,0,0,7,4,6,5,0,0,0,ongoing,-,0,0.212257,0.177528,0.035535,0.036557
1,151,B,0,0,6,2,6,4,0,0,1,ongoing,-,0,0.210875,0.175026,0.038934,0.037735
1,152,W,0,2,6,5,6,4,0,300,0,ongoing,-,0,0.411743,0.373868,0.040015,0.039868
1,153,B,0,0,8,6,8,5,0,0,0,ongoing,-,0,-0.001013,-0.045069,0.045468,0.046375
1,154,W,0,0,6,4,5,3,0,0,0,ongoing,-,0,-0.015770,-0.059811,0.044809,0.046359
1,155,B,0,0,3,4,3,3,0,0,0,ongoing,-,0,-0.008652,-0.054442,0.044541,0.048200
1,156,W,0,0,5,3,6,3,0,0,0,ongoing,-,0,0.168342,0.129993,0.046278,0.040367
1,157,B,0,0,8,1,8,2,0,0,0,ongoing,-,0,-0.001040,-0.041680,0.041869,0.042779
1,158,W,0,0,6,3,5,4,0,0,0,ongoing,-,0,-0.015797,-0.056546,0.041331,0.042894
1,159,B,0,0,8,5,8,4,0,0,0,ongoing,-,0,-0.001053,-0.041048,0.041190,0.042099
1,160,W,0,0,5,4,5,5,0,0,0,ongoing,-,0,0.173065,0.137824,0.040588,0.037096
1,161,B,0,0,8,4,8,5,0,0,0,ongoing,-,0,0.003933,-0.033776,0.038780,0.039694
1,162,W,0,0,5,5,4,5,0,0,0,ongoing,-,0,-0.004198,-0.042390,0.038490,0.040202
1,163,B,0,0,3,3,4,3,0,0,0,ongoing,-,0,-0.008705,-0.048876,0.038800,0.042285
1,164,W,0,0,4,5,4,6,0,0,0,ongoing,-,0,0.168288,0.135182,0.040576,0.034849
1,165,B,0,0,4,3,3,4,0,0,0,ongoing,-,0,-0.020343,-0.058290,0.036553,0.039943
1,166,W,0,0,4,6,3,6,0,0,0,ongoing,-,0,-0.008725,-0.046651,0.038287,0.039922
1,167,B,0,0,3,4,3,3,0,0,0,ongoing,-,0,0.168268,0.135655,0.038265,0.034330
1,168,W,0,0,3,6,2,5,0,0,0,ongoing,-,0,-0.024863,-0.060899,0.036086,0.037933
1,169,B,0,0,0,4,0,5,0,0,0,ongoing,-,0,0.003880,-0.031187,0.036235,0.036913
1,170,W,0,0,2,5,3,6,0,0,0,ongoing,-,0,0.180123,0.149448,0.035662,0.032290
1,171,B,0,0,0,5,0,6,0,0,0,ongoing,-,0,-0.001133,-0.034574,0.034283,0.035201
1,172,W,0,0,3,6,4,5,0,0,0,ongoing,-,0,-0.015890,-0.049742,0.033999,0.035634
1,173,B,0,0,3,3,4,3,0,0,0,ongoing,-,0,-0.008772,-0.044491,0.034165,0.037599
1,174,W,0,0,4,5,4,6,0,0,0,ongoing,-,0,0.168222,0.139508,0.036059,0.030225
1,175,B,0,0,4,3,3,4,0,0,0,ongoing,-,0,-0.020410,-0.054278,0.032097,0.035651
1,176,W,0,0,4,6,3,6,0,0,0,ongoing,-,0,-0.013292,-0.047473,0.034133,0.035980
1,177,B,0,0,3,4,2,3,0,0,0,ongoing,-,0,0.168202,0.140752,0.034373,0.028894
1,178,W,0,0,3,6,2,6,0,0,0,ongoing,-,0,-0.005180,-0.036116,0.030751,0.032565
1,179,B,0,0,0,6,0,7,0,0,0,ongoing,-,0,-0.032187,-0.061494,0.031395,0.030849
1,180,W,0,0,2,6,3,5,0,0,0,ongoing,-,0,-0.015943,-0.045338,0.029172,0.030941
1,181,B,0,0,2,3,3,3,0,0,0,ongoing,-,0,-0.008825,-0.040186,0.029629,0.033011
1,182,W,0,0,3,5,3,6,0,0,0,ongoing,-,0,0.168168,0.143755,0.031639,0.025699
1,183,B,0,0,3,3,4,3,0,0,0,ongoing,-,0,-0.029213,-0.055341,0.027737,0.027503
1,184,W,0,0,3,6,4,6,0,0,0,ongoing,-,0,-0.000720,-0.025673,0.026085,0.026267
1,185,B,0,0,4,3,3,4,0,0,0,ongoing,-,0,-0.020477,-0.048112,0.025383,0.029090
1,186,W,0,0,4,6,3,6,0,0,0,ongoing,-,0,-0.008858,-0.036693,0.027791,0.029300
1,187,B,0,0,3,4,3,3,0,0,0,ongoing,-,0,0.168135,0.145468,0.028029,0.023860
1,188,W,0,0,3,6,2,5,0,0,0,ongoing,-,0,-0.020497,-0.047065,0.026001,0.027967
1,189,B,0,0,3,3,3,2,0,0,0,ongoing,-,0,-0.031003,-0.053469,0.026674,0.023648
1,190,W,0,0,2,5,3,5,0,0,0,ongoing,-,0,-0.000760,-0.021997,0.022276,0.022355
1,191,B,0,0,3,2,2,3,0,0,0,ongoing,-,0,-0.020517,-0.044575,0.021596,0.025324
1,192,W,0,0,3,5,2,5,0,0,0,ongoing,-,0,-0.008898,-0.033197,0.024151,0.025577
1,193,B,0,0,2,3,2,2,0,0,0,ongoing,-,0,0.168095,0.148798,0.024443,0.020313
1,194,W,0,0,2,5,1,4,0,0,0,ongoing,-,0,-0.020537,-0.043908,0.022588,0.024602
1,195,B,0,0,0,7,0,6,0,0,0,ongoing,-,0,0.017707,-0.005400,0.023421,0.024323
1,196,W,0,0,1,4,2,5,0,0,0,ongoing,-,0,0.192075,0.172858,0.023783,0.020229
1,197,B,0,0,0,6,0,5,0,0,0,ongoing,-,0,0.003693,-0.018660,0.022891,0.023530
1,198,W,0,0,2,5,3,4,0,0,0,ongoing,-,0,-0.011563,-0.035227,0.022793,0.024909
1,199,B,0,0,0,5,0,4,0,0,0,ongoing,-,0,-0.001320,-0.024872,0.023876,0.024792
1,200,W,0,0,3,4,2,5,0,0,0,ongoing,-,0,0.173923,0.154707,0.023876,0.020228
1,201,B,0,0,2,2,1,1,0,0,0,ongoing,-,0,-0.024333,-0.044683,0.022570,0.021421
1,202,W,0,0,2,5,2,4,0,0,0,ongoing,-,0,-0.003840,-0.024815,0.020295,0.022079
1,203,B,0,0,1,1,2,1,0,0,0,ongoing,-,0,-0.005847,-0.026028,0.021303,0.021243
1,204,W,0,0,2,4,3,3,0,0,0,ongoing,-,0,-0.011603,-0.033023,0.020377,0.022547
1,205,B,0,0,0,4,0,3,0,0,0,ongoing,-,0,-0.001360,-0.022747,0.021593,0.022513
1,206,W,0,0,3,3,2,4,0,0,0,ongoing,-,0,0.173883,0.156818,0.021677,0.017964
1,207,B,0,0,2,1,1,0,0,0,0,ongoing,-,0,-0.024748,-0.042754,0.020392,0.018954
1,208,W,0,0,2,4,2,3,0,0,0,ongoing,-,0,-0.003880,-0.022771,0.017892,0.019885
1,209,B,0,0,1,0,2,0,0,0,0,ongoing,-,0,-0.005887,-0.023748,0.019184,0.018801
1,210,W,0,0,2,3,3,2,0,0,0,ongoing,-,0,-0.011643,-0.031237,0.018013,0.020625
1,211,B,0,0,0,3,0,2,0,0,0,ongoing,-,0,-0.001400,-0.020675,0.019742,0.020289
1,212,W,0,0,3,2,2,3,0,0,0,ongoing,-,0,0.173843,0.158533,0.019525,0.016116
1,213,B,0,0,2,0,1,0,0,0,0,ongoing,-,0,-0.024413,-0.041456,0.018623,0.017939
1,214,W,0,0,2,3,3,2,0,0,0,ongoing,-,0,-0.012545,-0.030468,0.016895,0.018866
1,215,B,0,0,1,0,1,1,0,0,0,ongoing,-,0,-0.013677,-0.033270,0.018042,0.020624
1,216,W,0,0,3,2,4,1,0,0,0,ongoing,-,0,0.176817,0.162092,0.019676,0.015500
1,217,B,0,0,1,1,2,0,0,0,0,ongoing,-,0,-0.021065,-0.041932,0.018065,0.021966
1,218,W,0,0,4,1,4,0,0,0,0,ongoing,-,0,-0.001322,-0.021102,0.020885,0.020822
1,219,B,0,0,2,0,1,0,0,0,0,ongoing,-,0,0.168797,0.152908,0.020000,0.016725
1,220,W,0,0,4,0,3,0,0,0,0,ongoing,-,0,-0.017210,-0.038753,0.019188,0.022677
1,221,B,0,0,1,0,0,0,0,0,0,ongoing,-,0,0.168533,0.151562,0.021602,0.017865
1,222,W,0,0,3,0,2,0,0,0,0,ongoing,-,0,-0.017223,-0.040220,0.020276,0.024207
1,223,B,0,0,0,2,0,1,0,0,0,ongoing,-,0,-0.001605,-0.024047,0.023084,0.023623
1,224,W,0,0,2,0,3,0,0,0,0,ongoing,-,0,0.171763,0.155040,0.022669,0.017604
1,225,B,0,1,0,0,0,1,0,0,0,ongoing,-,0,0.009882,-0.009086,0.020064,0.019966
1,226,W,0,0,3,0,3,1,0,0,0,ongoing,-,0,-0.000625,-0.021336,0.019456,0.021801
1,227,B,0,0,8,2,8,1,0,0,0,ongoing,-,0,-0.024507,-0.043300,0.021086,0.019782
1,228,W,0,0,3,1,4,1,0,0,0,ongoing,-,0,-0.012388,-0.028625,0.018617,0.017091
1,229,B,0,0,0,1,1,1,0,0,0,ongoing,-,0,-0.000770,-0.018020,0.016262,0.018158
1,230,W,0,0,4,1,3,0,0,0,0,ongoing,-,0,-0.021152,-0.040011,0.017555,0.019852
1,231,B,0,0,0,1,0,0,0,0,0,ongoing,-,0,-0.001658,-0.020638,0.018806,0.019979
1,232,W,0,0,3,0,4,1,0,0,0,ongoing,-,0,0.177085,0.162999,0.019224,0.014827
1,233,B,0,0,1,1,2,0,0,0,0,ongoing,-,0,-0.021172,-0.041681,0.017443,0.021589
1,234,W,0,0,4,1,4,0,0,0,0,ongoing,-,0,-0.001428,-0.021002,0.020512,0.020604
1,235,B,0,0,2,0,1,0,0,0,0,ongoing,-,0,0.168690,0.153506,0.019783,0.015983
1,236,W,0,0,4,0,3,1,0,0,0,ongoing,-,0,-0.020442,-0.041253,0.018488,0.021907
1,237,B,0,1,1,0,0,0,0,0,0,ongoing,-,0,0.006427,-0.008926,0.020817,0.016161
1,238,W,0,0,3,1,3,0,0,0,0,ongoing,-,0,0.017170,0.000138,0.015636,0.017928
1,239,B,0,0,8,1,8,0,0,0,0,ongoing,-,0,-0.024712,-0.040179,0.017654,0.016282
1,240,W,0,0,3,0,4,0,0,0,0,ongoing,-,0,-0.012468,-0.025545,0.015227,0.013765
1,241,B,0,0,0,0,1,0,0,0,0,ongoing,-,0,-0.001100,-0.014979,0.013043,0.014609
1,242,W,0,0,4,0,3,1,0,0,0,ongoing,-,0,-0.020482,-0.037192,0.014113,0.017590
1,243,B,0,1,1,0,0,0,0,0,0,ongoing,-,0,0.006387,-0.005061,0.016650,0.012050
1,244,W,0,0,3,1,3,0,0,0,0,ongoing,-,0,0.017130,0.003886,0.011665,0.013941
1,245,B,0,0,8,5,8,4,0,0,0,ongoing,-,0,-0.024627,-0.036469,0.013803,0.012466
1,246,W,0,0,3,0,4,0,0,0,0,ongoing,-,0,-0.012508,-0.022185,0.011545,0.010186
1,247,B,0,0,0,0,1,0,0,0,0,ongoing,-,0,-0.001140,-0.011637,0.009586,0.011050
1,248,W,0,0,4,0,3,1,0,0,0,ongoing,-,0,-0.020522,-0.033911,0.010672,0.014094
1,249,B,0,0,8,0,8,1,0,0,0,ongoing,-,0,-0.024528,-0.037546,0.013274,0.013703
1,250,W,0,0,3,1,3,0,0,0,0,ongoing,-,0,-0.006035,-0.018319,0.012718,0.012930
1,251,B,0,1,1,0,0,0,0,0,0,ongoing,-,0,0.184458,0.176573,0.012307,0.008300
1,252,W,0,0,3,0,4,0,0,0,0,ongoing,-,0,-0.012548,-0.021978,0.011414,0.009925
1,253,B,0,0,0,0,1,0,0,0,0,ongoing,-,0,-0.001180,-0.011555,0.009329,0.010921
1,254,W,0,0,4,0,3,1,0,0,0,ongoing,-,0,-0.020562,-0.033812,0.010548,0.013947
1,255,B,0,1,1,0,0,0,0,0,0,ongoing,-,0,0.006307,-0.001949,0.013127,0.008690
1,256,W,0,0,3,1,3,0,0,0,0,ongoing,-,0,0.017050,0.007060,0.008420,0.010516
