episode,ply,player,kind,intent,from_x,from_y,to_x,to_y,drop_type,capture_value,gives_check,status,winner,timed_out,reward,target,value_before,value_after
1,1,B,0,0,3,2,4,3,0,0,0,ongoing,-,0,0.002000,0.002000,0.000000,0.000000
1,2,W,0,0,3,6,4,5,0,0,0,ongoing,-,0,0.037993,0.037928,0.000068,0.000069
1,3,B,1,0,-1,-1,8,3,7,0,0,ongoing,-,0,-0.023013,-0.024312,0.001367,0.001367
1,4,W,0,2,3,8,3,0,0,600,1,ongoing,-,0,0.355980,0.355660,0.000475,0.000337
1,5,B,0,2,4,0,3,0,0,900,0,ongoing,-,0,0.483848,0.471828,0.009208,0.012653
1,6,W,1,0,-1,-1,4,5,12,0,0,ongoing,-,0,0.014967,-0.008171,0.024017,0.024356
1,7,B,1,0,-1,-1,4,3,12,0,0,ongoing,-,0,0.014960,-0.006971,0.023252,0.023085
1,8,W,0,2,4,5,4,1,0,250,0,ongoing,-,0,0.054203,0.032952,0.022049,0.022370
1,9,B,0,2,4,3,4,7,0,250,0,ongoing,-,0,0.075197,0.052573,0.022747,0.023814
1,10,W,1,0,-1,-1,3,1,10,0,1,ongoing,-,0,0.337940,0.317115,0.024897,0.021921
1,11,B,0,2,2,2,3,1,0,500,0,ongoing,-,0,0.469808,0.435569,0.030453,0.036041
1,12,W,0,2,4,6,4,7,0,350,0,ongoing,-,0,0.285677,0.242973,0.047862,0.044952
1,13,B,0,2,5,0,4,1,0,350,0,ongoing,-,0,0.064670,0.016056,0.051971,0.051173
1,14,W,0,0,4,5,3,4,0,0,0,ongoing,-,0,0.006913,-0.041261,0.049942,0.050709
1,15,B,0,2,4,3,3,4,0,350,0,ongoing,-,0,0.040657,-0.003095,0.047587,0.046055
1,16,W,0,0,2,7,3,5,0,0,0,ongoing,-,0,0.006900,-0.036620,0.044343,0.045811
1,17,B,0,2,3,4,3,5,0,350,0,ongoing,-,0,0.045643,0.006070,0.043080,0.041656
1,18,W,1,0,-1,-1,3,6,10,0,0,ongoing,-,0,0.001887,-0.038499,0.040409,0.042511
