game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,14576,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
2,15573,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,16570,vp-side-hybrid,B,2,1000,draw,-,703,0,0,0
4,17567,vp-side-hybrid,B,2,1000,draw,-,811,0,0,0
5,18564,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
6,19561,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,20558,vp-side-hybrid,B,2,1000,resigned,B,140,0,1,0
8,21555,vp-side-hybrid,B,2,1000,resigned,B,82,0,1,0
9,22552,vp-side-hybrid,B,2,1000,resigned,W,85,0,0,1
10,23549,vp-side-hybrid,B,2,1000,resigned,W,139,0,0,1
11,24546,vp-side-hybrid,B,2,1000,resigned,W,77,0,0,1
12,25543,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
13,26540,vp-side-hybrid,B,2,1000,resigned,B,198,0,1,0
14,27537,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
15,28534,vp-side-hybrid,B,2,1000,resigned,W,115,0,0,1
16,29531,vp-side-hybrid,B,2,1000,resigned,B,96,0,1,0
17,30528,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
18,31525,vp-side-hybrid,B,2,1000,resigned,B,64,0,1,0
19,32522,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
20,33519,vp-side-hybrid,B,2,1000,draw,-,369,0,0,0
21,34516,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
22,35513,vp-side-hybrid,B,2,1000,resigned,B,152,0,1,0
23,36510,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
24,37507,vp-side-hybrid,B,2,1000,resigned,B,122,0,1,0
25,38504,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
26,39501,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
27,40498,vp-side-hybrid,B,2,1000,resigned,B,88,0,1,0
28,41495,vp-side-hybrid,B,2,1000,resigned,W,305,0,0,1
29,42492,vp-side-hybrid,B,2,1000,resigned,B,118,0,1,0
30,43489,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
31,44486,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
32,45483,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
33,46480,vp-side-hybrid,B,2,1000,resigned,W,635,0,0,1
34,47477,vp-side-hybrid,B,2,1000,resigned,B,172,0,1,0
35,48474,vp-side-hybrid,B,2,1000,resigned,W,137,0,0,1
36,49471,vp-side-hybrid,B,2,1000,resigned,B,96,0,1,0
37,50468,vp-side-hybrid,B,2,1000,resigned,B,824,0,1,0
38,51465,vp-side-hybrid,B,2,1000,draw,-,211,0,0,0
39,52462,vp-side-hybrid,B,2,1000,resigned,W,129,0,0,1
40,53459,vp-side-hybrid,B,2,1000,resigned,B,96,0,1,0
41,54456,vp-side-hybrid,B,2,1000,resigned,W,89,0,0,1
42,55453,vp-side-hybrid,B,2,1000,resigned,B,184,0,1,0
43,56450,vp-side-hybrid,B,2,1000,resigned,B,716,0,1,0
44,57447,vp-side-hybrid,B,2,1000,resigned,W,67,0,0,1
45,58444,vp-side-hybrid,B,2,1000,resigned,W,53,0,0,1
46,59441,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
47,60438,vp-side-hybrid,B,2,1000,resigned,B,114,0,1,0
48,61435,vp-side-hybrid,B,2,1000,resigned,W,131,0,0,1
49,62432,vp-side-hybrid,B,2,1000,resigned,B,230,0,1,0
50,63429,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
51,64426,vp-side-hybrid,W,2,1000,resigned,W,99,0,1,0
52,65423,vp-side-hybrid,W,2,1000,draw,-,198,0,0,0
53,66420,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
54,67417,vp-side-hybrid,W,2,1000,draw,-,160,0,0,0
