game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
55,68414,vp-side-hybrid,W,2,1000,resigned,W,385,0,1,0
56,69411,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
57,70408,vp-side-hybrid,W,2,1000,draw,-,718,0,0,0
58,71405,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
59,72402,vp-side-hybrid,W,2,1000,resigned,W,207,0,1,0
60,73399,vp-side-hybrid,W,2,1000,resigned,W,435,0,1,0
61,74396,vp-side-hybrid,W,2,1000,draw,-,458,0,0,0
62,75393,vp-side-hybrid,W,2,1000,draw,-,406,0,0,0
63,76390,vp-side-hybrid,W,2,1000,resigned,W,309,0,1,0
64,77387,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
65,78384,vp-side-hybrid,W,2,1000,resigned,W,61,0,1,0
66,79381,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
67,80378,vp-side-hybrid,W,2,1000,resigned,W,169,0,1,0
68,81375,vp-side-hybrid,W,2,1000,resigned,W,299,0,1,0
69,82372,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
70,83369,vp-side-hybrid,W,2,1000,resigned,W,75,0,1,0
71,84366,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
72,85363,vp-side-hybrid,W,2,1000,resigned,B,110,0,0,1
73,86360,vp-side-hybrid,W,2,1000,resigned,W,415,0,1,0
74,87357,vp-side-hybrid,W,2,1000,resigned,B,320,0,0,1
75,88354,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
76,89351,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
77,90348,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
78,91345,vp-side-hybrid,W,2,1000,resigned,W,69,0,1,0
79,92342,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
80,93339,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
81,94336,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
82,95333,vp-side-hybrid,W,2,1000,resigned,B,88,0,0,1
83,96330,vp-side-hybrid,W,2,1000,draw,-,352,0,0,0
84,97327,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
85,98324,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
86,99321,vp-side-hybrid,W,2,1000,draw,-,160,0,0,0
87,100318,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
88,101315,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
89,102312,vp-side-hybrid,W,2,1000,draw,-,376,0,0,0
90,103309,vp-side-hybrid,W,2,1000,draw,-,298,0,0,0
91,104306,vp-side-hybrid,W,2,1000,resigned,W,301,0,1,0
92,105303,vp-side-hybrid,W,2,1000,resigned,W,227,0,1,0
93,106300,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
94,107297,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
95,108294,vp-side-hybrid,W,2,1000,resigned,W,967,0,1,0
96,109291,vp-side-hybrid,W,2,1000,resigned,W,371,0,1,0
97,110288,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
98,111285,vp-side-hybrid,W,2,1000,resigned,W,63,0,1,0
99,112282,vp-side-hybrid,W,2,1000,draw,-,294,0,0,0
100,113279,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
